source_paper,source_id,source_text,group_id,group_label
CPI_2015,C11,Lobbying disclosure,g_ext_001,Overall lobbying-disclosure regime quality (composite)
FOCAL,scope.1,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees",g_focal_001,"Types of lobbyists included in the register (consultant, in-house, firms, etc.)"
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,g_focal_002,No or low financial/time threshold for lobbyist registration
FOCAL,scope.3,"The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy",g_focal_003,"Targets of lobbying covered (legislative, executive, agency staff, etc.)"
FOCAL,scope.4,"A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails",g_focal_004,"Breadth of lobbying activities covered (oral, written, electronic, events)"
FOCAL,timeliness.1,"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)",g_focal_005,Register updates (registrations/clients) made near real time
FOCAL,timeliness.2,"Lobbying activities are disclosed close to real time (eg, daily)",g_focal_006,Lobbying activities disclosed near real time
FOCAL,timeliness.3,Ministerial diaries are disclosed monthly (or more frequently),g_focal_007,Public-official diaries disclosed monthly or more frequently
FOCAL,openness.1,Lobbyist register is online,g_focal_008,Lobbyist register is online
FOCAL,openness.2,"Diaries available online (eg, lobbyists, ministers, ministerial staff)",g_focal_009,Public-official/lobbyist diaries available online
FOCAL,openness.3,"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable",g_focal_010,"Data available without registration, free, open license, machine-readable format"
FOCAL,openness.4,"Downloadable (eg, as files, database)",g_focal_011,Lobbying data downloadable as files or database
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",g_focal_012,Lobbying data searchable with simultaneous multi-criteria sorting
FOCAL,openness.6,"Unique identifiers (eg, for lobbyists, individuals, organisations)",g_focal_013,"Unique identifiers for lobbyists, individuals, organisations"
FOCAL,openness.7,"Linked or interconnected data (to other datasets, eg, campaign financing)",g_focal_014,Lobbying data linked to other datasets (e.g. campaign finance)
FOCAL,openness.8,Historical data in lobbyist register is archived and published; downloadable,g_focal_015,"Historical lobbying data archived, published, and downloadable"
FOCAL,openness.9,Changes or updates documented with a flagging system,g_focal_016,Changes/updates to disclosures documented with a flagging system
FOCAL,descriptors.1,"Full names of lobbyists/organisations, (not abbreviations or ambiguous names)",g_focal_017,Full names of lobbyists and organisations disclosed
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",g_focal_018,"Contact details of lobbyists/organisations disclosed (address, phone, website)"
FOCAL,descriptors.3,"Legal form (eg, public, private, not-for-profit, NGO, government)",g_focal_019,"Legal form of lobbyist/principal disclosed (public, private, NGO, government)"
FOCAL,descriptors.4,Company registration number,g_focal_020,Company registration number of lobbyist/organisation disclosed
