source_paper,source_id,source_text,group_id,group_label
CPI_2015,C11,Lobbying disclosure,g_195,State has a lobbying-disclosure system (CPI top-level category)
FOCAL,scope.1,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees",g_009,"Scope of lobbyist types covered by the registry (consultants, in-house, firms, etc.)"
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,g_010,Lobbying registry has no or low financial/time exemption threshold
FOCAL,scope.3,"The following are included as targets of lobbying: legislative branches, executive branch officials, Ministers, Deputy Ministers, members of parliament, Director-Generals and senior officials, staff, administrative branch/bureaucracy",g_011,"Scope of lobbying targets covered (legislators, executive officials, staff, etc.)"
FOCAL,scope.4,"A wide breadth of activities are included, eg, oral, written, electronic, virtual communications; organising meetings for others; events; phone calls and emails",g_012,"Scope of lobbying activities covered (oral, written, electronic, events, etc.)"
FOCAL,timeliness.1,"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)",g_117,Frequency with which lobby lists are updated for the public
FOCAL,timeliness.2,"Lobbying activities are disclosed close to real time (eg, daily)",g_118,Lobbying activity reports are disclosed close to real time
FOCAL,timeliness.3,Ministerial diaries are disclosed monthly (or more frequently),g_119,Ministerial / official diaries disclosed monthly or more frequently
FOCAL,openness.1,Lobbyist register is online,g_120,Lobbyist register is online
FOCAL,openness.2,"Diaries available online (eg, lobbyists, ministers, ministerial staff)",g_121,Lobbyist / minister / staff diaries are available online
FOCAL,openness.3,"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable",g_122,"Lobbying data is open-license, free, machine-readable, non-proprietary"
FOCAL,openness.4,"Downloadable (eg, as files, database)",g_123,Lobbying data is downloadable as files / database
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",g_124,Lobbying data is searchable with simultaneous multi-criteria sorting
FOCAL,openness.6,"Unique identifiers (eg, for lobbyists, individuals, organisations)",g_125,Unique identifiers exist for lobbyists / individuals / organisations
FOCAL,openness.7,"Linked or interconnected data (to other datasets, eg, campaign financing)",g_126,"Lobbying data linked or interconnected to other datasets (e.g., campaign finance)"
