source_paper,source_id,source_text,group_id,group_label
Newmark2005,def_legislative_lobbying,legislative lobbying,g_001,Definition: legislative lobbying triggers registration as a lobbyist
Newmark2017,def.legislative_lobbying,Legislative lobbying necessitates registering as a lobbyist,g_001,Definition: legislative lobbying triggers registration as a lobbyist
Opheim,def.legislative_lobbying,legislative lobbying as a criterion for definition,g_001,Definition: legislative lobbying triggers registration as a lobbyist
Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying,g_002,Definition: administrative/executive-agency lobbying triggers registration as a lobbyist
Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying necessitates registering as a lobbyist,g_002,Definition: administrative/executive-agency lobbying triggers registration as a lobbyist
Opheim,def.administrative_lobbying,administrative lobbying as a criterion for definition,g_002,Definition: administrative/executive-agency lobbying triggers registration as a lobbyist
HiredGuns,Q1,"In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?",g_002,Definition: administrative/executive-agency lobbying triggers registration as a lobbyist
Newmark2005,def_elected_officials_as_lobbyists,elected officials as lobbyists,g_003,Definition: elected officials are designated as lobbyists when engaged in lobbying
Newmark2017,def.elective_officials_as_lobbyists,Elective officials are defined as lobbyists if engaged in lobbying-related behaviors,g_003,Definition: elected officials are designated as lobbyists when engaged in lobbying
Opheim,def.elective_officials,elective officials designated as lobbyists,g_003,Definition: elected officials are designated as lobbyists when engaged in lobbying
Newmark2005,def_public_employees_as_lobbyists,public employees as lobbyists,g_004,Definition: public employees are designated as lobbyists when engaged in lobbying
Newmark2017,def.public_employees_as_lobbyists,Public employees are defined as lobbyists if engaged in lobbying-related behaviors,g_004,Definition: public employees are designated as lobbyists when engaged in lobbying
Opheim,def.public_employees,public employees designated as lobbyists,g_004,Definition: public employees are designated as lobbyists when engaged in lobbying
Newmark2005,def_compensation_standard,compensation standard,g_005,Definition: compensation/income threshold to qualify as a lobbyist
Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying),g_005,Definition: compensation/income threshold to qualify as a lobbyist
Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity,g_005,Definition: compensation/income threshold to qualify as a lobbyist
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",g_005,Definition: compensation/income threshold to qualify as a lobbyist
Newmark2005,def_expenditure_standard,expenditure standard,g_006,Definition: expenditure threshold to qualify as a lobbyist
Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying),g_006,Definition: expenditure threshold to qualify as a lobbyist
Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity,g_006,Definition: expenditure threshold to qualify as a lobbyist
Newmark2005,def_time_standard,time standard,g_007,Definition: time-spent threshold to qualify as a lobbyist
Newmark2017,def.time_standard,Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying),g_007,Definition: time-spent threshold to qualify as a lobbyist
Opheim,def.time_standard,specific time standard to delineate lobbying activity,g_007,Definition: time-spent threshold to qualify as a lobbyist
Newmark2005,prohib_campaign_contrib_any_time,campaign contributions at any time,g_008,Prohibition: lobbyists making campaign contributions at any time
Newmark2017,prohib.contributions_anytime,Lobbyists prohibited from making campaign contributions at any time,g_008,Prohibition: lobbyists making campaign contributions at any time
Newmark2005,prohib_campaign_contrib_during_session,campaign contributions during the legislative session,g_009,Prohibition: lobbyists making campaign contributions during legislative session
Newmark2017,prohib.contributions_during_session,Lobbyists prohibited from making campaign contributions during legislative sessions,g_009,Prohibition: lobbyists making campaign contributions during legislative session
Newmark2005,prohib_solicitation_by_officials,solicitation by officials or employees for contributions or gifts,g_010,Prohibition: solicitation by public officials/employees for contributions or gifts
Newmark2017,prohib.solicitation_by_officials,Solicitation by officials or employees for contributions or gifts is prohibited,g_010,Prohibition: solicitation by public officials/employees for contributions or gifts
Newmark2005,prohib_expenditures_over_threshold,expenditures in excess of a certain dollar amount per year,g_011,Prohibition: lobbying expenditures above a dollar threshold per year
