paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
newmark_2017	index.total	2015 index of lobbying regulation (composite of all 19 components)	(overall index)	numeric	"each of the above 19 categories was given a 1 if the state included the provision and a 0 if it did not, and the categories were then summed to create an index assessing the level of lobbying regulation in each state."	"each of the above 19 categories was given a 1 if the state included the provision and a 0 if it did not, and the categories were then summed to create an index" [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:555-558]	Composite. Decomposes into the 3 sub-aggregates (def.section_total, prohib.section_total, disclosure.section_total) and 19 atomic items below. Observed range 7-19 across 50 states; mean 12.96, SD 2.63; Cronbach's alpha 0.67. Newmark's 2015 measure (paper's headline contribution).
newmark_2017	def.section_total	2015 definitions sub-score (7 items)	Definitions of lobbyists and registration requirements	numeric	Sum of seven 1/0 items in the Definitions category.	"Definitions include whether the following necessitate registering as a lobbyist: legislative lobbying, administrative agency lobbying, elective officials as lobbyists, public employees as lobbyists, and whether there are compensation, expenditure, and time standards." [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:515-518]	Composite (sub-aggregate). Decomposes into the 7 def.* items below. Reported per state in Table 2 column "2015 definitions" (range 1-7). Newmark explicitly enumerates the 7 components in this category. Lineage: BoS-derived (Newmark notes "categories listed above are used in previous studies derived from the BOS").
newmark_2017	def.legislative_lobbying	Legislative lobbying necessitates registering as a lobbyist	Definitions of lobbyists and registration requirements	boolean	"Each of these is coded 1 if the state includes the provision in its definition of a lobbyist and 0 otherwise."	"Definitions include whether the following necessitate registering as a lobbyist: legislative lobbying, administrative agency lobbying" [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:515-516]	BoS-derived (Newmark 2017 reproduces BoS categories via statute review). Newmark notes "All 50 states require registration for lobbying the legislature" (line 518), so this item has no variation in 2015 — and it is excluded from the factor analysis for that reason (Table 3 footnote: "Legislative lobbying ... excluded because there is no variation").
newmark_2017	def.administrative_agency_lobbying	Administrative agency lobbying necessitates registering as a lobbyist	Definitions of lobbyists and registration requirements	boolean	"Each of these is coded 1 if the state includes the provision in its definition of a lobbyist and 0 otherwise."	"administrative agency lobbying, elective officials as lobbyists, public employees as lobbyists" [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:516-517]	BoS-derived. Newmark notes "most states require it for lobbying administrative agencies" (line 519). Loads on factor 1 (0.622) and factor 4 (-0.543) in factor analysis.
newmark_2017	def.elective_officials_as_lobbyists	Elective officials are defined as lobbyists if engaged in lobbying-related behaviors	Definitions of lobbyists and registration requirements	boolean	"Each of these is coded 1 if the state includes the provision in its definition of a lobbyist and 0 otherwise."	"Some states require elected officials and public appointees to register if they engage in certain lobbying-related behaviors." [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:519-521]	BoS-derived. Note paper uses both "elective officials" (in enumeration) and "elected officials" (in commentary) — same item. Loads 0.790 on factor 4.
newmark_2017	def.public_employees_as_lobbyists	Public employees are defined as lobbyists if engaged in lobbying-related behaviors	Definitions of lobbyists and registration requirements	boolean	"Each of these is coded 1 if the state includes the provision in its definition of a lobbyist and 0 otherwise."	"public employees as lobbyists, and whether there are compensation, expenditure, and time standards" [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:517-518]	BoS-derived. Loads 0.305 on factor 1 and 0.630 on factor 4.
newmark_2017	def.compensation_standard	Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying)	Definitions of lobbyists and registration requirements	boolean	"Each of these is coded 1 if the state includes the provision in its definition of a lobbyist and 0 otherwise."	"persons are defined as lobbyists if they receive a certain amount of money in exchange for lobbying (compensation standards)" [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:521-523]	BoS-derived. Threshold dollar value not specified by Newmark — only the presence/absence of any compensation threshold in the definition is scored. Atomization: Newmark groups "compensation, expenditure, and time standards" in one enumeration but treats each as a separate component (Table 2 column shows up to 7 def points, which only reaches 7 if all three standards are separate items). Loads 0.781 on factor 1.
newmark_2017	def.expenditure_standard	Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying)	Definitions of lobbyists and registration requirements	boolean	"Each of these is coded 1 if the state includes the provision in its definition of a lobbyist and 0 otherwise."	"if they spend a certain amount of money in lobbying (expenditure standards)" [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:523-524]	BoS-derived. Threshold dollar value not specified. Loads 0.563 on factor 1.
newmark_2017	def.time_standard	Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying)	Definitions of lobbyists and registration requirements	boolean	"Each of these is coded 1 if the state includes the provision in its definition of a lobbyist and 0 otherwise."	"if they devote a certain amount of time in their lobbying efforts (time standards). Each of these is coded 1 if the state includes the provision in its definition of a lobbyist and 0 otherwise." [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:524-526]	BoS-derived. Threshold time value not specified. Loads 0.493 on factor 1 and 0.444 on factor 4.
newmark_2017	prohib.section_total	2015 prohibited activities sub-score (5 items)	Prohibited activities	numeric	Sum of five 1/0 items in the Prohibited activities category.	"Prohibited activities include: if lobbyists are prohibited from making campaign contributions at any time; if they are prohibited from making campaign contributions during the legislative sessions; solicitations by officials or employees for contributions or gifts; contingent compensation; and revolving door restrictions." [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:528-532]	Composite (sub-aggregate). Decomposes into the 5 prohib.* items below. Reported per state in Table 2 column "2015 prohibited activities" (range 0-5). Lineage: BoS-derived.
newmark_2017	prohib.contributions_anytime	Lobbyists prohibited from making campaign contributions at any time	Prohibited activities	boolean	"each is coded 1/0 depending on if the state prohibits a given activity."	"if lobbyists are prohibited from making campaign contributions at any time" [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:529-530]	BoS-derived. Loads 0.558 on factor 2.
newmark_2017	prohib.contributions_during_session	Lobbyists prohibited from making campaign contributions during legislative sessions	Prohibited activities	boolean	"each is coded 1/0 depending on if the state prohibits a given activity."	"if they are prohibited from making campaign contributions during the legislative sessions" [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:530-531]	BoS-derived. Loads 0.329 on factor 2.
newmark_2017	prohib.solicitation_by_officials	Solicitation by officials or employees for contributions or gifts is prohibited	Prohibited activities	boolean	"each is coded 1/0 depending on if the state prohibits a given activity."	"solicitations by officials or employees for contributions or gifts" [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:531-532]	BoS-derived. Note: this item restricts the *officials*' demand-side behavior, not the lobbyist's supply-side. Loads 0.652 on factor 3 and -0.346 on factor 1.
newmark_2017	prohib.contingent_compensation	Contingent compensation is prohibited (lobbyists receiving pay only on achieving a lobbying-related objective)	Prohibited activities	boolean	"each is coded 1/0 depending on if the state prohibits a given activity."	"Contingent compensation refers to restrictions on lobbyists receiving pay only if they achieve some lobbying-related objective." [papers/text/Newmark_2017__lobbying_regulation_revisited.txt:533-535]	BoS-derived. Loads 0.522 on factor 2.
